譯文ID	作業ID	原文ID	原文對話序號	語言別	內容
4300	97	3	47	en-US	Okay now I want to ask you some question. So you don’t live with your husband now, right?
4301	97	3	48	en-US	Yes, we have lived apart for 6 months.
4302	97	3	49	en-US	When did you file the case of divorce?
4303	97	3	50	en-US	About two months ago
4304	97	3	51	en-US	That is, long before you sued for divorce, you don’t lived together.
4305	97	3	52	en-US	Yes.
4306	97	3	53	en-US	So who do you live with now?
4307	97	3	54	en-US	I live with my son from my first marriage.
4308	97	3	55	en-US	First marriage? so you and the plaintiff’s marriage is…?
4309	97	3	56	en-US	He is my second husband.
4310	97	3	57	en-US	So the custody we are saying now, is your second child, your daughter, right?
4311	97	3	58	en-US	Yes.
4312	97	3	59	en-US	So how old are your son and daughter?
4313	97	3	60	en-US	My sun is seven years old now, and my daughter is 8 months.
4314	97	3	61	en-US	When you moved out, your daughter lived with you or him?
4315	97	3	62	en-US	When I moved out, our daughter was only two months old. She still needed lot of cares, so she lived with me.
4316	97	3	63	en-US	Then, presently, who does she live with?
4317	97	3	64	en-US	Now she lives with my husband.
4318	97	3	65	en-US	Is there any agreement between you and your husband? Why your daughter originally lived you, but now with him?
4319	97	3	66	en-US	The place I live now is smaller, and the original house I lived with my husband is bigger. Considering about the environment, I think the old house is better for my daughter, so I took her back to live with my husband.
4320	97	3	67	en-US	So considering about the objective circumstance, I mean the space of your house, it’s still worse for her, isn’t it? Then why would you want the custody of your daughter?
4321	97	3	68	en-US	Come on, I borne her! How would you think I don’t want to see her in the future? Also my husband is a Canadian, and his job is Taiwan is not stable so he may go back to Canada anytime. In that case, doesn’t that mean I can see my daughter anymore? So I want to have the custody of my daughter.
4322	97	3	69	en-US	Can you tell me how would bring up your child? With your financial status.
4323	97	3	70	en-US	So far, we are still dealing with the divorcing case. I want to fight for the right to live in the house which my husband lives now, after our divorce. So consider about the environmental issue, the house will suit my daughter a lot. As for my financial status, I have given the court an asset list. Also, I have a regular income; it’s about 40000 per month. So I think I have the ability to take care of my daughter.
4324	97	3	71	en-US	So how your divorcing case is goes now? Do you know when will the court’s decision come out?
4325	97	3	72	en-US	I am not very sure about that. We will go to the court this Friday. I will ask the judge of our divorcing case to make the decision as soon.
4326	97	3	73	en-US	Okay, then I will sent the social to do to visit both of your houses. And make an evaluation of how you get along with your daughter. And I will take their report into consideration to decide what’s best for the child. Before that, I want to ask both of you, would you consider about sharing shared custody of your daughter? The shared custody goes like that, your daughter will live with you sometime, and the other time lives with your husband.
4327	97	3	74	zh-TW	我個人不支持這個 因為我女兒還在小了 他只有八個月大耶 我不想要她一直在我跟我老婆之間一直改變環境 對一個這麼小的小孩來說 他會混淆吧 如果他真得要這樣跟我住一段時間又跟她住一段時間
4328	97	3	75	en-US	I agree with my husband in this. She is too small, it shouldn’t to this way.
4329	97	3	76	en-US	Okay, then, I will arrange the social worker to your houses first. After the make the report, we will set the court date to let both of you have a chance to make a statement, is that okay with you?
4330	97	3	77	zh-TW	好啊 社工要來我可以
4331	97	3	78	en-US	I am fine with that, too.
4332	105	3	1	en-US	Today we are here for the preparation procedure of Custody case, case number 2345.
4333	105	3	8	en-US	null
4334	105	3	9	en-US	Your name please?
4335	105	3	10	zh-TW	佛瑞強森
4336	105	3	11	en-US	Your pass port number?
4337	105	3	12	zh-TW	RC087828118
4338	105	3	13	en-US	Your ARC number?
4339	105	3	14	zh-TW	AC204891874
4340	105	3	15	en-US	Your mailing address?
4341	105	3	16	zh-TW	台北市士林區德行東路482號24樓之3
4342	105	3	17	en-US	Now I’m going to inform your right and obligation.
4343	105	3	18	en-US	You have the right to remain silent and do not have to make any statement against your will.
4344	105	3	19	en-US	You have the right to a lawyer.
4345	105	3	20	en-US	You have the right to ask the court to investigate the evidence which can help you.
4346	105	3	21	en-US	Do you fully understand?
4347	105	3	22	zh-TW	是的我了解了
4348	105	3	23	en-US	Your name please?
4349	105	3	24	en-US	Tsai-yun Shih.
4350	105	3	25	en-US	Your ID number?
4351	105	3	26	en-US	H280848918
4352	105	3	27	en-US	Your mailing address?
4353	105	3	28	en-US	Fl. 5, No. 414, Sec. 3, Chung Cheng Rd., Shilin Dist., Taipei City.
4354	105	3	29	en-US	Today we are here for the preparation procedure of custody case for Ferry Johnson and Tsai-yun Shih. Do both parties have the lawyer?
4355	105	3	30	en-US	Yes I have the lawyer.
4356	105	3	31	zh-TW	我也有請律師
4357	105	3	32	en-US	In today’s procedure, I want to know what the idea of both parties in custody is. I also want know why both of you think that you are suitable for getting the custody. Please focus on it as your statement. Besides, you are also having the divorce case. So I want both of you would not have verbal attack to each other.
4358	105	3	33	zh-TW	我了解了
4359	105	3	34	en-US	I understand.
4360	105	3	35	en-US	At first I will ask some questions to plaintiff. Why you want to get the custody of your child? As I know, you don’t have the full-time job in Taipei. Also, you are a foreigner. In the case of custody, why you strive for rearing your child?
4361	105	3	36	zh-TW	我之所以希望能得到全部的撫養權有兩個原因。首先，我老婆不再與我們住在一起了，我希望能看著我小孩長大。再來，我聽說我老婆現在跟別的男人住在一起，如果真的是那樣的話，我很懷疑我女兒能得到全然的照顧。因此我希望擁有全部的撫養權。
4362	105	3	37	en-US	You mean you are no longer live together though you are under the case of divorce? Also, you doubt that she is living together with another man. I that circumstances, you don’t want to share the custody with your wife?
4363	105	3	38	zh-TW	是的，這是我主要考慮的一些因素。
4364	105	3	39	en-US	Otherwise, concerning your financial status, if you get the custody of your daughter, how would you raise your child?
4365	105	3	40	zh-TW	雖然我現在沒有正職工作是真的，但是我有好幾份兼職工作讓我有固定的收入。我相信這足夠讓我和我女兒過活。
4366	105	3	41	en-US	You just mentioned that you have several part-time jobs. Can you promise that you have regular income?
4367	105	3	42	zh-TW	我平均會有四到五個兼職，總共來說我大概會有五萬的收入。有時如果有另外的案子我可以有更多的收入。
4368	105	3	43	en-US	I have a further question, is that possible to bring your child to Canada and no more back to Taiwan after you get the custody? The reason why I ask so because even you get sole custody, your wife still have the visitation right. If you bring your child back to Canada, you are separating your wife and child. What’s your idea to this point?
4369	105	3	44	zh-TW	我已經在台灣待了五年，我有居留證，而且我也愛這個地方。目前我沒有要離開台灣。另外我也覺得我的女兒有權利可以看到她的爸爸媽媽。雖然我和我老婆正在打離婚官司，我絕對沒有意圖想阻止我女兒與老婆之間的聯繫。在我跟我老婆打離婚官司的過程中，我仍會定期傳女兒的照片給她。我也有鼓勵她多與我們相處。
4370	105	3	45	en-US	So recently you don’t plan to back to Canada?
4371	105	3	46	zh-TW	我有可能會回去加拿大因為我媽媽年老且生病。但就算我回去我也不會待很久。我甚至不會想帶我女兒一起回加拿大。
4372	105	3	47	en-US	Okay I have some question to ask the opposite position. Aren’t you living with your husband?
4373	105	3	48	en-US	No, we haven’t lived together for six months.
4374	105	3	49	en-US	When did you file the divorce suit?
4375	105	3	50	en-US	It might be two months ago.
4376	105	3	51	en-US	So you didn’t live together before you file the lawsuit, right?.
4377	105	3	52	en-US	Yes.
4378	105	3	53	en-US	So what’s your living situation, I mean, who do you live together with?
4379	105	3	54	en-US	I live with my son of my first marriage.
4380	105	3	55	en-US	The first marriage? What time is the marriage with plaintiff?
4381	105	3	56	en-US	He is the second husband.
4382	105	3	57	en-US	null
4383	105	3	58	en-US	Yes.
4384	105	3	59	en-US	How old is your son? And how old is your daughter.
4385	105	3	60	en-US	My son is seven years old and my daughter is eight months old.
4386	105	3	61	en-US	When you moved out the house, who was your daughter with?
4387	105	3	62	en-US	Because my daughter was only two months old when I was moving out. She needed my care so she was with me.
4388	105	3	63	en-US	Where is daughter with?
4389	105	3	64	en-US	My daughter is with my husband now.
4390	105	3	65	en-US	Is there any agreement between you and your husband? Why your daughter was first with you and now she is with your husband?
4391	105	3	66	en-US	The place where I am living is smaller than the house when I lived with my husband. I think, environmentally, it is good for my daughter to live with my husband.
4392	105	3	67	en-US	So in the objective circumstances, if it isn’t changed, it isn’t good for your daughter to live with you. Why you still want the custody of your daughter?
4393	105	3	68	en-US	I had ten months pregnant to give birth to her. She is my child. And my husband is a Canadian, also he doesn’t have the full-time job, he might go back to Canada any time. If so, I would not see my daughter any more. So I want to be granted with the custody.
4394	105	3	69	en-US	To your financial status, can you clarify how you raise your daughter?
4395	105	3	70	en-US	We are under the case of divorce. I hope that I can get the right to live in the house which my husband is living in after divorcing. That house is good for my daughter to grow. Also I provide a asset list to the court to make clear my financial status. In addition, I have full-time job and my wage a month is up to forty thousands. I think I capable to take care and raise my daughter.
4396	105	3	71	en-US	How’s going with your divorce case? Do you know when is the court’s decision? Or the maybe-date?
4397	105	3	72	en-US	I’m not sure. We will have the court date this Friday. I want to inform the judge of the divorce case…………
4398	105	3	73	en-US	Okay, I will arrange the social worker to visit both of you. And make evaluations separately between both of you and your daughter. It will be the reference to the court decision of the custody. Before that, will you want to share the custody? To the definition of shared custody, it means, in a period of time, the child is with father, then, in another period of time, the child is with mother.
4399	105	3	74	zh-TW	個人來說，我沒有很喜歡這個主意，我女兒還太小。她才八個月大，我不想要她年紀那麼小就經歷那麼多變動。對這麼小的小孩而言，一下跟爸爸住一下跟媽媽住可能會讓她覺得困惑。
4400	105	3	75	en-US	In that point, I agree with my husband. It’s too young to my daughter.
4401	105	3	76	en-US	Okay I get it. I will arrange the visit of social worker. After the evaluation, we will arrange another court date to make opportunities that both parties can state. Is that okay with you?
4402	105	3	77	zh-TW	好的我對社工人員的探訪沒有意見。
4403	105	3	78	en-US	It’s fine with me, thank you.
4404	113	3	1	en-US	Today we are here for preparation procedure of child rearing. Case number 2345
4405	113	3	8	en-US	null
4406	113	3	9	en-US	your name,please
4407	113	3	10	zh-TW	null
4408	113	3	11	en-US	your passport number, please
4409	113	3	12	zh-TW	null
4410	113	3	13	en-US	your ARC number, please
4411	113	3	14	zh-TW	null
4412	113	3	15	en-US	your mailing address,please
4413	113	3	16	zh-TW	台北市士林區德行東路482號 24-3,一樓
4414	113	3	17	en-US	null
4415	113	3	18	en-US	null
4416	113	3	19	en-US	null
4417	113	3	20	en-US	null
4418	113	3	21	en-US	do you fully understand?
4419	113	3	22	zh-TW	是的
4420	113	3	23	en-US	your name please.
4421	113	3	24	en-US	null
4422	113	3	25	en-US	passport number
4423	113	3	26	en-US	null
4424	113	3	27	en-US	Mailing address, please.
4425	113	3	28	en-US	null
4426	113	3	29	en-US	Today we are here for preparation procedure of child rearing between Ferry Johnson and史彩雲. Do both parties have lawyers?
4427	113	3	30	en-US	I have a lawyer
4428	113	3	31	zh-TW	我也有律師
4429	113	3	32	en-US	Today’s purpose is to realize the position of you two about child rearing. And I hope that I can know that why do you to all think that yourself are suitable to raise this child. please elaborate this point in detail. In addition, I know that you are also in the divorce procedure, so I hope that both of you do not have any verbal attack to  each other in today’s court, it that ok with both of you?
4430	113	3	33	zh-TW	我了解
4431	113	3	34	en-US	I understand
4432	113	3	35	en-US	Please tell me that why you want to fight for the custody? I know that you don’t have a full time job in Taiwan, and you are also a foreigner. As for fighting for child rearing , why do you think that you are suitable for ? 
4433	113	3	36	zh-TW	我希望我能獲得我女兒全部的撫養權。首先,我老婆早就不跟我們一起住了。我想陪著我女兒長大。再者，我早就聽聞我老婆已經跟另外一個男生住在一起了。如果這是真的，我非常懷疑我老婆是不是能給我女兒一個最完善的照顧。因此，我希望我可以獲得全部的撫養權。
4434	113	3	37	en-US	You mean that although you are in divorce procedure, your wife hasn’t lived with you. Moreover, you also suspect that your wife has already lived with another guy? In this situation, you don’t want to let your wife take care of your child, right?
4435	113	3	38	zh-TW	是的,這些是我的疑慮
4436	113	3	39	en-US	besides, as for your personal financial status, how do you take your daughter?
4437	113	3	40	zh-TW	的確，我現在是沒有全職工作。但是我有很多份兼職工作可以有穩定的收入。我相信這些收入夠我可以照顧我自己以及我女兒。
4438	113	3	41	en-US	Yu just mentioned that you have several part time jobs so far。Because they are all part time jobs, can you estimate that how much fixed income do you earn each month?
4439	113	3	42	zh-TW	我平均有四到五份兼職工作。總共大概每個月可賺五萬塊。有時候，如果我有接到新的案件，就可以賺到更多錢。
4440	113	3	43	en-US	I want to ask you another question, which is that will you bring your daughter back to Canada and never come back after you are granted with sole custody. The reason why I ask you this question is that even if you are granted with sole custody, your wife still has the visitation right. If you bring your kid back to Canada, which means that you separate your daughter and wife. What’s your opinion about this?
4441	113	3	44	zh-TW	我已經在台灣待五年了。我有居留證號碼，而且我也喜歡這個地方。目前我沒有打算離開台灣。特別是我覺得我女兒應該要有權利可以看到她麼爸媽。我意思是，雖然我跟我老婆正在打離婚官司，我也沒有意思要打斷他們兩個之間的聯繫。甚至在官司期間，我固定會寄女兒的照片給我老婆。我甚至都會安排外出活動，鼓勵他多花時間跟我跟我女兒在一起。
4442	113	3	45	en-US	you mean that you don’t have intention of going back to your hometown recently, right?
4443	113	3	46	zh-TW	對。我可能會回去是因為我媽媽老了也生病了。即使我回家加拿大，我也不會待很久。我甚至不會考慮帶我女兒一起去。
4444	113	3	47	en-US	now I am going to ask the other party that do you live with your husband now?
4445	113	3	48	en-US	yes, we have been separated for six months.
4446	113	3	49	en-US	when do you …….
4447	113	3	50	en-US	about two months ago
4448	113	3	51	en-US	that is to say, you have been separated before you sue for divorce?
4449	113	3	52	en-US	yes
4450	113	3	53	en-US	what’s your ………., I mean, who do you live with?
4451	113	3	54	en-US	I live with my son …………
4452	113	3	55	en-US	Your first marriage? What the …….
4453	113	3	56	en-US	he is my second husband
4454	113	3	57	en-US	so whom you are fighting for child rearing is …………………..
4455	113	3	58	en-US	yes
4456	113	3	59	en-US	how old is your son? And how old is your daughter?
4457	113	3	60	en-US	my son is seven years old, and my daughter is eight month old
4458	113	3	61	en-US	so when you move out, whom does your daughter lives with ,you or your husband?
4459	113	3	62	en-US	when I move out, my daughter is only two month old, she still needs me, so she lived with me.
4460	113	3	63	en-US	where is your daughter now?
4461	113	3	64	en-US	she lives with my husband now.
4462	113	3	65	en-US	Do you have any agreement between you and your husband? Why your daughter lived with you before and now she lives with your husband?
4463	113	3	66	en-US	where I move in is smaller than that which my husband lived. As far as environment is concerned, it’s better for child, so I let my daughter live with my husband.
4464	113	3	67	en-US	if there is ………., your environment condition is not good for your daughter, right? Why do you still want to fight for child rearing?
4465	113	3	68	en-US	………, how can I bear that I cannot see her anymore? My husband is Canadian, he doesn’t have steady job in Taiwan, he may go back to Canada anytime. In that way, I will no longer see my daughter. So , I hope I can fight for child rearing.
4466	113	3	69	en-US	as for your financial status, can you further elaborate that how do you afford your daughter’s arising expenditure?
4467	113	3	70	en-US	we are still in divorce procedure, so I hope that I can live in the house where my husband is living in. as for the environment, that would be suitable for my daughter. As for my personal financial status, I have provided the court with an asset list. Besides that, I have a regular income which is at least 40000 dollars. I think that I am able to raise my daughter.
4468	113	3	71	en-US	……… when does your sentence will make. That is to say,……
4469	113	3	72	en-US	I am not sure. We will attend the court on Friday. I hope that I can express my opinion of making the sentence done.
4470	113	3	73	en-US	alright, the court will arrange social worker to pay a visit to both of you and make a evaluation focus on how do you get along with your daughter. The court will decide which arrangement is better for child depends on their reports. Before that, I would like to ask you that will both of you consider keeping shared custody which means your child will live with father for some time and live with mother for another time.
4471	113	3	74	zh-TW	我個人是不喜歡這樣的安排，因為我女兒還太小。他只有8個月大。我不想要他跟著我們的決定兩地奔波。對於一個這麼小的小孩，這些對他來說實在是太困惑了，一下要跟媽媽住，一下又要跟爸爸住。
4472	113	3	75	en-US	as for this, I agree with my husband. My daughter is too small; she should not, and is not suitable for this kind of arrangement of shared custody
4473	113	3	76	en-US	since that, we will arrange social worker to visit you first. After they finishing their reports, we will arrange the court date and …….
4474	113	3	77	zh-TW	我也同意社工探訪.
4475	113	3	78	en-US	Thank you.
4476	121	3	1	en-US	Today, we are here for the preparation procedure of case no.2345. This case is for child rearing.
4477	121	3	8	en-US	null
4478	121	3	9	en-US	your name, please?
4479	121	3	10	zh-TW	梅利強森
4480	121	3	11	en-US	your passport number?
4481	121	3	12	zh-TW	null
4482	121	3	13	en-US	your ARC number?
4483	121	3	14	zh-TW	null
4484	121	3	15	en-US	your mailing address?
4485	121	3	16	zh-TW	台北市士林區德行東路482號24樓
4486	121	3	17	en-US	Now, I am going to tell you the following rights and obligations.
4487	121	3	18	en-US	null
4488	121	3	19	en-US	null
4489	121	3	20	en-US	null
4490	121	3	21	en-US	Do you fully understand your rights?
4491	121	3	22	zh-TW	我了解。
4492	121	3	23	en-US	your name, please.
4493	121	3	24	en-US	Cai-yun Shih
4494	121	3	25	en-US	your ID number?
4495	121	3	26	en-US	H280848918
4496	121	3	27	en-US	your mailing address?
4497	121	3	28	en-US	5 floor, No.414, Section 3, Zhongcheng Rd, Shih-lin District, Taipei
4498	121	3	29	en-US	Today, we are here for the preparation procedure of Mr. Johnson and Miss. Shih, their child rearing case. Do both parties have lawyers?
4499	121	3	30	en-US	Yes, I have my lawyer.
4500	121	3	31	zh-TW	我也有請律師。
4501	121	3	32	en-US	Today, the judge mainly wants to know the idea of both parties on the child rearing case. I also want to know the reasons why do you think you are suitable to raise the children. Please answer the question to me. Also, I know you are dealing with the divorce case. Therefore, I don’t want to see any situation of verbal attack, do you understand?
4502	121	3	33	zh-TW	我了解
4503	121	3	34	en-US	I understand.
4504	121	3	35	en-US	First, I want to ask few questions for the plaintiff. Why do you want to get the rearing right of your children. In my understandings, you don’t have the full-time job in Taiwan. And you are a foreigner. Why do you think that you are more suitable for raising your children?
4505	121	3	36	zh-TW	我希望我可以得到我子女全部的扶養權，就以下這幾點。首先，我妻子已經沒有再跟我們住在一起了，我希望我可以陪伴著我孩子成長。此外，我還知道我太太跟其他男人住在一起，如果真是如此，我很懷疑她是否真能給我們的孩子最好的照顧。因此，我希望可以得到全部的扶養權。
4506	121	3	37	en-US	Do you mean that your wife is no longer live with you even if she is still under the divorcing case? Moreover, you doubt that she is living with another man now? It is because under such circumstance that you do not want her to take care of your child?
4507	121	3	38	zh-TW	對，這是我主要這樣做的原因。
4508	121	3	39	en-US	Regarding with your financial status, if you get the right to raise your daughter, how do you deal with your financial status? How do you have the money to take care of your daughter?
4509	121	3	40	zh-TW	我現在沒有所謂正職的工作是事實啦，但是我現在也有一些打工啊，都可以帶給我固定的收入。我相信那些收入已經足夠讓我和我的女兒生活了。
4510	121	3	41	en-US	You just mentioned that you have several part-time jobs. Because they are part-time jobs, can you calculate how much money that you are sure you can earn per month?
4511	121	3	42	zh-TW	我有四到五個打工的工作，平均來說。這大概可以讓我每個月賺五萬元左右吧。如果我有得到新的工作的話，也許這收入會更高。
4512	121	3	43	en-US	Moreover, I want to know that if you have the right to raise children; will you take your child back to Canada and you will not come back ever again? I would ask this question is because even if you do get the right to raise your children, your wife may still have the visitation right for your child. If you take your child back to Canada, it will transform into the separation of the mother and the child. What your opinion about this?
4513	121	3	44	zh-TW	我已經在台灣住五年了。我不只有居留證我也很喜歡這裡。到目前為止，我沒有想要離開台灣的打算。而且我也認同我女兒必須要見到父母雙方。而且我也想要重申，即使我和我太太目前還在打離婚官司，我卻沒有想阻止她們母女倆互相見面的權利。就在我們還在打離婚官司時，我不時會寄我女兒的照片給太太，我還邀請我太太一起和我和女兒出去玩。
4514	121	3	45	en-US	Do you mean that you do not have the plan to go back to Canada recently? 
4515	121	3	46	zh-TW	我也許會回加拿大，但那是因為我媽媽已經年紀很大而且又生病了。但是即使我回去了，我也不會長久待在那裡，我會讓我女兒一直和我待在一起。
4516	121	3	47	en-US	Next, I want to ask few questions to the wife. Are you currently not living with your husband?
4517	121	3	48	en-US	Yes, we have already separately lived for about half a year.
4518	121	3	49	en-US	When did you file the divorcing case?
4519	121	3	50	en-US	About two months ago
4520	121	3	51	en-US	so before you file the divorcing case, both of you did not live together anymore?
4521	121	3	52	en-US	Yes.
4522	121	3	53	en-US	What your living condition right now? I mean who did you live with?
4523	121	3	54	en-US	I live with my son from the first marriage.
4524	121	3	55	en-US	First marriage? So ,which marriage is you with your current husband?
4525	121	3	56	en-US	He is my second husband.
4526	121	3	57	en-US	So, the case of rearing we are fighting now is for the daughter of your second marriage.
4527	121	3	58	en-US	Yes.
4528	121	3	59	en-US	How old is your son and daughter?
4529	121	3	60	en-US	My son is seven years old and my daughter is eight months old.
4530	121	3	61	en-US	When you moved out, was your daughter with you or with your husband?
4531	121	3	62	en-US	Since when I moved out, my daughter is just two months old, so she was with me.
4532	121	3	63	en-US	Where is your daughter now?
4533	121	3	64	en-US	My daughter is with my husband now.
4534	121	3	65	en-US	Is there any agreement between both parties? Why the daughter was with you first but the daughter was with your husband? 
4535	121	3	66	en-US	The place I live after I moved out is smaller than the place my husband have. After consideration of the environment, I think the bigger house is more suitable for my daughter so I let my husband to take care of my daughter.
4536	121	3	67	en-US	If the objective circumstance does not change, I mean that you sill live in the smaller house, I don’t think it will be good for your child. Why do you want to fight for the rearing right?
4537	121	3	68	en-US	She is “my” daughter, I can’t imagine if I cannot see her anymore. Besides, my husband is a foreigner from Canada. He might go back to Canada because he even does not have a full-time job in Taiwan. In that case, I might not see my daughter ever again. As a result, I want to fight for the rearing right of my daughter. 
4538	121	3	69	en-US	From your financial status, can you explain how do you plan to cover the money to take care of your daughter?
4539	121	3	70	en-US	Now, we are still on the divorce case. Now, I hope to get the court decision that my daughter and I can live in the house which my husband currently live. According to the environment, I think that house will be very suitable for the growth of my daughter. About my personal financial status, I have already given the court my asset lists. Moreover, I have the full-time job and the salary is about forty thousand NT dollars a month. I think I am able to take care of my daughter. 
4540	121	3	71	en-US	Can you tell me what stage are your divorce case in? Do you know when or around what time the court decision will be given?
4541	121	3	72	en-US	I am not sure. We will be here for the divorce case this Friday. I hope I may ask the judge of my divorce case to give the court decision as soon as possible.
4542	121	3	73	en-US	The court will hire the social workers to visit the houses of both parties. Also, according to the ways you dealing with your children, the social worker will evaluate it. The report will be examined by the court and we will make a decision on it. But before that, I want to ask both parties if you ever consider the shared custody? Shared custody is defined as follows, the child will firstly with the father and then he or she will latter with mother.
4543	121	3	74	zh-TW	就個人來講，我不太喜歡這種方式因為我女兒還很小，她才八個月大欸，我不想讓她經歷我和太太之間的變動，對這麼小的孩子來說，這會讓她很混亂，為什麼有時候和爸爸在一起，有時才能見媽媽呢?
4544	121	3	75	en-US	To this point, I agree with my husband. My daughter is too young, she should not and not suitable to go through the changes.
4545	121	3	76	en-US	I see, we will arrange the social worker to visit both parties. After they write down their report, we will arrange the next court time. Then we will let both parties to state their thoughts, is it clear?
4546	121	3	77	zh-TW	好，社工人員來探訪沒有問題。
4547	121	3	78	en-US	I agree with it, thank you.
4548	129	3	1	en-US	Today is the procedure court for child rearing. Case number 2345
4549	129	3	8	en-US	I am here today for child rearing, Case Number 2345 as an interpreter. I promise to faithfully and honestly translate/interpret what is stated in this court. In the case of deliberately making false interpretation, the violation of perjury will apply.
4550	129	3	9	en-US	What’s your name?
4551	129	3	10	zh-TW	null
4552	129	3	11	en-US	Your passport number.
4553	129	3	12	zh-TW	null
4554	129	3	13	en-US	What’s you ARC number?
4555	129	3	14	zh-TW	null
4556	129	3	15	en-US	Your mailing address.
4557	129	3	16	zh-TW	台北市士林區德林西路482號24樓之三
4558	129	3	17	en-US	Now I am telling your right.
4559	129	3	18	en-US	First, you have the right to remain silent and do not have to make any statement against your will.
4560	129	3	19	en-US	Second, you have the right to a lawyer.
4561	129	3	20	en-US	Third, you have the right to ask the court to investigate any evidence which may help you with your case.
4562	129	3	21	en-US	Do you fully understand your rights?
4563	129	3	22	zh-TW	是，我瞭解。
4564	129	3	23	en-US	what’s your name?
4565	129	3	24	en-US	null
4566	129	3	25	en-US	What’s your ID number?
4567	129	3	26	en-US	null
4568	129	3	27	en-US	Your mailing address.
4569	129	3	28	en-US	Fl. 5, No. 414, Sec. 3, Zhongzheng Rd., Shih-lin District, in Taipei City
4570	129	3	29	en-US	Today’s preparation procedure is for Ferry Johnson and Ms. Shi for child rearing procedure.Do both parties have lawyers?
4571	129	3	30	en-US	Yes, I have a lawyer.
4572	129	3	31	zh-TW	我也有，我也是。
4573	129	3	32	en-US	Today I am here; my real purpose is to understand what’s your status in this child rearing. Also, I want to know why both of you think you have the right to rear this child. Please focus on this point clearly. Besides, I know you are under the procedure of the case of divorce. I hope you can avoid the verbal attacking, do you understand?
4574	129	3	33	zh-TW	我瞭解。
4575	129	3	34	en-US	Yes, I do.
4576	129	3	35	en-US	So now, I will ask some question for plaintiff. Why you want to fight for the right for rearing your child? As I know, you don’t have the fall-time job in Taiwan now. You are a foreigner. Why do you think you are more proper than the defense that you can rear your child?
4577	129	3	36	zh-TW	我希望能把我的孩子判給我是因為有一些考慮的。第一點，我的老婆沒有跟我們住在一起，我想在那看著我女兒長大。此外我聽說我老婆跟別人住。如果那是真的的話，我非常懷疑她是否有能力給們的女兒最好的照顧。因此我希望能得到全部的撫養權。
4578	129	3	37	en-US	You mean that your wife is under the procedure of a divorce case and she doesn’t live with you. Is that right? Also, you suspected that she is living with other man. Are those concerns that you think you don’t want your daughter to live with your wife?
4579	129	3	38	zh-TW	沒錯，那些是我主要的顧慮。
4580	129	3	39	en-US	As to your financial status, if you got the custody of your daughter, how can you raise her up?
4581	129	3	40	zh-TW	我現在沒有全職工作是真的。但是我有幾分臨時工可以讓我有固定的收入，我認為我的收入足夠讓我和我的女兒生活。
4582	129	3	41	en-US	You just mentioned that you have several part-time jobs. Because those jobs are part-time jobs, can you calculate how much can you earn each month?
4583	129	3	42	zh-TW	我平均大約有四到五個兼職。大約可以讓我賺到一萬五千元台幣每個月。有時候如果我有新的工作的話我會有新的收入。
4584	129	3	43	en-US	I have another question. If you have the custody of your daughter, will you bring her to Canada and never come back? The reason why I ask you that question is because although you have the custody of your daughter, your wife still has the visitation right. If you bring your daughter to your country that means you will violate the right of your wife to visit your daughter. What’s your point about this case?
4585	129	3	44	zh-TW	我在台灣已經待了有五年了，我有居留證而且我喜歡這個地方。到目前為止我並沒有任何計畫打算離開台灣。而且我確信我的女兒有權力見到她的父母。在這裡我要強調的是:雖然我和我的老婆正在打離婚官司，但是我絕對不會切斷她們的關係。在我們打離婚官司的程序中，我時常會寄我們女兒的照片給我老婆看。我也時常安排出去，我們三個一起出遊。
4586	129	3	45	en-US	You mean that recently you will not return to your mother country, is that right?
4587	129	3	46	zh-TW	不，有可能因為我的媽媽已經年老了也生病了。即使我回去但我也不會待太久，我甚至不會考慮把我女兒一起帶去。
4588	129	3	47	en-US	so now, I will ask some question for other party. You don’t live with your husband, right?
4589	129	3	48	en-US	Yes, we have separated for six months.
4590	129	3	49	en-US	When did you have the divorce case?
4591	129	3	50	en-US	About two months ago.
4592	129	3	51	en-US	Before you have the case, you didn’t live together.
4593	129	3	52	en-US	Yes.
4594	129	3	53	en-US	Who do you live with?
4595	129	3	54	en-US	I bring my son of my first marriage together.
4596	129	3	55	en-US	Your first marriage? What is your marriage time with the plaintiff?
4597	129	3	56	en-US	He is my second husband.
4598	129	3	57	en-US	So now, we are talking about the custody of the daughter which is you and your second husband have. 
4599	129	3	58	en-US	Yes.
4600	129	3	59	en-US	How old is your son and your daughter?
4601	129	3	60	en-US	My son is eight-year old and my daughter is eight months.
4602	129	3	61	en-US	After you leave your home, who live with your daughter?
4603	129	3	62	en-US	Because when I leave my home, my daughter was only two months so I worked her out in order to take care of her.
4604	129	3	63	en-US	Where is your daughter now?
4605	129	3	64	en-US	My daughter is in my husband’s house.
4606	129	3	65	en-US	Do you have any agreement that your daughter live with you first and later she lives with your husband?
4607	129	3	66	en-US	After I left my house, I live in a small house, but the original one is bigger. According to the environment, my husband’s house is better for my child.
4608	129	3	67	en-US	If the objective circumstance that your house is not good enough, your daughter lives with your husband is a better choice, isn’t that right? Why you want to own the custody of your daughter?
